,sample,id,x,y,area,area_convex,KM_label_nc20,star_KM_label_nc20
Tonsil_2_s0_a5_2084.0,Tonsil_2_s0_a5,2084.0,133.64444,203.62222,45.0,48.0,17,8
Tonsil_2_s0_a4_13097.0,Tonsil_2_s0_a4,13097.0,892.4048,458.09525,42.0,45.0,5,1
Tonsil_2_s0_a6_5965.0,Tonsil_2_s0_a6,5965.0,339.5,1.3636364,22.0,22.0,6,doublets
Tonsil_2_s0_a1_3222.0,Tonsil_2_s0_a1,3222.0,222.5,538.5,20.0,20.0,6,12
Tonsil_2_s0_a3_11498.0,Tonsil_2_s0_a3,11498.0,631.87933,616.3276,116.0,124.0,10,3
Tonsil_3_s0_a4_14202.0,Tonsil_3_s0_a4,14202.0,924.10345,407.31033,29.0,31.0,11,19
Tonsil_2_s0_a8_12619.0,Tonsil_2_s0_a8,12619.0,792.09375,795.2656,64.0,68.0,8,13
Tonsil_2_s0_a5_5542.0,Tonsil_2_s0_a5,5542.0,354.78787,272.60605,66.0,71.0,13,doublets
Tonsil_2_s0_a3_1644.0,Tonsil_2_s0_a3,1644.0,93.97059,436.7353,68.0,71.0,13,1
Tonsil_3_s0_a3_15594.0,Tonsil_3_s0_a3,15594.0,831.87274,505.67273,55.0,63.0,16,14
Tonsil_2_s0_a8_12087.0,Tonsil_2_s0_a8,12087.0,756.8823,296.2353,34.0,36.0,2,2
Tonsil_3_s0_a3_12082.0,Tonsil_3_s0_a3,12082.0,639.56,964.08,25.0,26.0,15,6
Tonsil_2_s0_a6_2620.0,Tonsil_2_s0_a6,2620.0,148.64706,837.04706,85.0,90.0,9,17
Tonsil_3_s0_a3_10044.0,Tonsil_3_s0_a3,10044.0,535.0,768.1579,19.0,20.0,6,5
Tonsil_2_s0_a1_2921.0,Tonsil_2_s0_a1,2921.0,203.40909,728.30304,66.0,71.0,13,doublets
Tonsil_2_s0_a2_6742.0,Tonsil_2_s0_a2,6742.0,492.6154,964.74036,104.0,131.0,0,2
Tonsil_2_s0_a2_14451.0,Tonsil_2_s0_a2,14451.0,997.0541,692.4054,37.0,37.0,2,doublets
Tonsil_2_s0_a4_9824.0,Tonsil_2_s0_a4,9824.0,649.5319,527.4894,47.0,50.0,12,17
Tonsil_2_s0_a3_2896.0,Tonsil_2_s0_a3,2896.0,162.06897,17.310345,29.0,33.0,11,11
Tonsil_3_s0_a3_16895.0,Tonsil_3_s0_a3,16895.0,904.85,167.7,20.0,21.0,6,11
Tonsil_3_s0_a3_8618.0,Tonsil_3_s0_a3,8618.0,463.0,506.0,5.0,5.0,4,14
Tonsil_2_s0_a1_10359.0,Tonsil_2_s0_a1,10359.0,642.1132,836.1698,53.0,59.0,1,doublets
Tonsil_2_s0_a4_14245.0,Tonsil_2_s0_a4,14245.0,968.6389,156.54167,72.0,77.0,3,1
